id,filtered_words,features,label_index
R129,"new, report, election, school, make, account., blood, whatever","(200,[11,79,95,105,125,132,159,185],[3.383392757028649,3.8187108282864943,3.914021008090819,0.6871770135734415,2.920769235080536,2.409943611314545,3.8187108282864943,0.6871770135734415])",1.0
R227,"new, report, climate, change, prepare, section, consider, stage, occur.","(200,[21,30,86,105,112,116,168,185,187],[2.60568818844064,4.270695952029551,2.2276220545205905,0.6871770135734415,3.2721671219184243,3.383392757028649,3.4440173788450834,0.6871770135734415,2.60568818844064])",1.0
F231,"aliens, confirmed, sources, among, newspaper, field, participant, white, bill.","(200,[4,23,38,43,50,74,162,188,196],[3.3262343431887,0.6753425559264385,3.6516567436233283,3.7316994512968646,2.661258039595451,3.7316994512968646,3.8187108282864943,0.6520856937621714,3.6516567436233283])",0.0
R066,"new, report, policy, material, treat, car, sit., safe, catch","(200,[31,42,74,105,142,149,150,178,185],[3.8187108282864943,4.019381523748645,3.7316994512968646,0.6871770135734415,2.4324164671666035,4.019381523748645,3.2208738275308737,4.270695952029551,0.6871770135734415])",1.0
F095,"mind, control, confirmed, sources, discover, candidate, light., agent","(200,[8,16,23,158,170,184,188,190],[2.5530444549552183,3.2208738275308737,0.6753425559264385,3.0811118851557153,2.8844015909096608,2.60568818844064,0.6520856937621714,3.0811118851557153])",0.0
R174,"new, report, policy, eight, trade, major, thousand, month., effect","(200,[19,58,81,82,105,124,142,185,198],[4.019381523748645,3.914021008090819,2.3045830956567186,4.270695952029551,0.6871770135734415,3.6516567436233283,2.4324164671666035,0.6871770135734415,3.8187108282864943])",1.0
R201,"new, report, public, health, economic, trouble, include","(200,[5,105,109,144,153,170,185],[2.8154087194227095,0.6871770135734415,3.6516567436233283,2.38796470459577,3.6516567436233283,2.8844015909096608,0.6871770135734415])",1.0
R072,"new, report, education, score, enjoy, itself., yeah, per, impact.","(200,[5,49,62,98,105,124,127,130,185],[2.8154087194227095,3.172083663361442,3.7316994512968646,3.3262343431887,0.6871770135734415,3.6516567436233283,3.5085558999826545,2.2847804683605393,0.6871770135734415])",1.0
R064,"new, report, research, behind, may, certainly, behind, yeah","(200,[32,49,73,105,146,160,185],[2.6330871626287546,3.172083663361442,3.383392757028649,0.6871770135734415,6.162223770311431,3.2721671219184243,0.6871770135734415])",1.0
F037,"miracle, drug, confirmed, sources, school, better, sign, pm, condition.","(200,[23,26,56,60,79,123,143,156,188],[0.6753425559264385,3.5085558999826545,2.7826188965997183,2.849310271098391,3.8187108282864943,3.5085558999826545,2.579019941358479,3.2208738275308737,0.6520856937621714])",0.0
R170,"new, report, technology, breakthrough, three, feeling, sell., coach","(200,[13,20,81,105,110,114,125,185],[2.6330871626287546,2.661258039595451,2.3045830956567186,0.6871770135734415,3.383392757028649,4.019381523748645,2.920769235080536,0.6871770135734415])",1.0
F110,"celebrity, scandal, confirmed, sources, summer, whatever, future., final, short","(200,[23,53,62,81,86,95,121,147,188],[0.6753425559264385,2.7200985396183848,3.7316994512968646,2.3045830956567186,2.2276220545205905,3.914021008090819,2.4789364828014966,2.2276220545205905,0.6520856937621714])",0.0
F048,"secret, cure, confirmed, sources, across, leave, piece, need, place.","(200,[23,74,92,113,131,133,137,147,188],[0.6753425559264385,3.7316994512968646,2.2847804683605393,3.2721671219184243,3.6516567436233283,3.3262343431887,3.8187108282864943,2.2276220545205905,0.6520856937621714])",0.0
